,season,team,player
0,2018,Sunrisers Hyderabad,R Bhui
1,2017,Gujarat Lions,Ishan Kishan
2,2010,Kings XI Punjab,MS Bisla
3,2009,Royal Challengers Bangalore,MK Pandey
4,2013,Kings XI Punjab,BA Bhatt
5,2015,Mumbai Indians,AT Rayudu
6,2017,Delhi Daredevils,CJ Anderson
7,2014,Mumbai Indians,AT Rayudu
8,2014,Chennai Super Kings,BB McCullum
9,2012,Mumbai Indians,AN Ahmed
10,2009,Delhi Daredevils,DP Nannes
11,2008,Rajasthan Royals,M Rawat
12,2010,Kings XI Punjab,B Lee
13,2013,Pune Warriors,TL Suman
14,2014,Mumbai Indians,P Kumar
15,2011,Rajasthan Royals,ND Doshi
16,2009,Mumbai Indians,JP Duminy
17,2013,Kings XI Punjab,R Sathish
18,2018,Kolkata Knight Riders,KD Karthik
19,2009,Royal Challengers Bangalore,R Dravid
20,2016,Rising Pune Supergiants,Ankit Sharma
21,2010,Rajasthan Royals,FY Fazal
22,2018,Kolkata Knight Riders,CA Lynn
23,2010,Kings XI Punjab,Yuvraj Singh
24,2019,Rajasthan Royals,STR Binny
25,2012,Pune Warriors,AP Majumdar
26,2010,Royal Challengers Bangalore,A Mithun
27,2018,Royal Challengers Bangalore,SN Khan
28,2016,Sunrisers Hyderabad,BB Sran
29,2013,Chennai Super Kings,R Ashwin
30,2008,Kolkata Knight Riders,BAW Mendis
31,2011,Pune Warriors,GC Smith
32,2008,Kolkata Knight Riders,WP Saha
33,2014,Chennai Super Kings,P Negi
34,2013,Rajasthan Royals,GB Hogg
35,2009,Royal Challengers Bangalore,A Mithun
36,2008,Rajasthan Royals,MM Patel
37,2018,Rajasthan Royals,AM Rahane
38,2008,Rajasthan Royals,Kamran Akmal
39,2017,Sunrisers Hyderabad,Bipul Sharma
40,2008,Royal Challengers Bangalore,B Akhil
41,2012,Mumbai Indians,KD Karthik
42,2017,Gujarat Lions,JP Faulkner
43,2011,Kings XI Punjab,VS Malik
44,2013,Chennai Super Kings,JO Holder
45,2008,Mumbai Indians,AM Nayar
46,2019,Chennai Super Kings,KV Sharma
47,2017,Kings XI Punjab,EJG Morgan
48,2012,Royal Challengers Bangalore,TM Dilshan
49,2017,Kings XI Punjab,MJ Guptill
50,2008,Royal Challengers Bangalore,P Kumar
51,2019,Kolkata Knight Riders,H Gurney
52,2010,Rajasthan Royals,MM Patel
53,2012,Pune Warriors,RV Uthappa
54,2009,Royal Challengers Bangalore,R Bishnoi
55,2019,Kolkata Knight Riders,RV Uthappa
56,2017,Kolkata Knight Riders,IR Jaggi
57,2013,Kolkata Knight Riders,BB McCullum
58,2010,Mumbai Indians,DJ Bravo
59,2010,Rajasthan Royals,SA Asnodkar
60,2019,Mumbai Indians,M Markande
61,2009,Royal Challengers Bangalore,B Akhil
62,2010,Mumbai Indians,ST Jayasuriya
63,2016,Mumbai Indians,N Rana
64,2008,Kings XI Punjab,U Kaul
65,2016,Rising Pune Supergiants,GJ Bailey
66,2017,Delhi Daredevils,CH Morris
67,2013,Royal Challengers Bangalore,KB Arun Karthik
68,2015,Royal Challengers Bangalore,MS Bisla
69,2008,Kolkata Knight Riders,Iqbal Abdulla
70,2016,Gujarat Lions,JP Faulkner
71,2014,Mumbai Indians,BR Dunk
72,2015,Kolkata Knight Riders,GB Hogg
73,2019,Delhi Capitals,S Rutherford
74,2011,Kolkata Knight Riders,G Gambhir
75,2017,Kolkata Knight Riders,UT Yadav
76,2011,Kings XI Punjab,PP Chawla
77,2012,Kings XI Punjab,N Saini
78,2010,Delhi Daredevils,PJ Sangwan
79,2009,Delhi Daredevils,TM Dilshan
80,2011,Pune Warriors,JP Faulkner
81,2014,Chennai Super Kings,A Nehra
82,2010,Delhi Daredevils,VY Mahesh
83,2012,Royal Challengers Bangalore,HV Patel
84,2019,Rajasthan Royals,SPD Smith
85,2017,Kings XI Punjab,I Sharma
86,2008,Chennai Super Kings,MEK Hussey
87,2011,Delhi Daredevils,DA Warner
88,2013,Pune Warriors,MR Marsh
89,2011,Rajasthan Royals,SK Trivedi
90,2014,Delhi Daredevils,KM Jadhav
91,2019,Mumbai Indians,SD Lad
92,2008,Kolkata Knight Riders,M Kartik
93,2014,Royal Challengers Bangalore,V Kohli
94,2017,Kolkata Knight Riders,TA Boult
95,2014,Rajasthan Royals,KW Richardson
96,2011,Kings XI Punjab,AC Gilchrist
97,2012,Kings XI Punjab,Gurkeerat Singh
98,2016,Mumbai Indians,TG Southee
99,2010,Rajasthan Royals,AJ Finch
100,2012,Kings XI Punjab,RR Powar
101,2013,Chennai Super Kings,CH Morris
102,2010,Delhi Daredevils,KM Jadhav
103,2015,Kings XI Punjab,MG Johnson
104,2013,Delhi Daredevils,J Botha
105,2017,Gujarat Lions,SS Agarwal
106,2013,Kings XI Punjab,MG Neser
107,2018,Kings XI Punjab,MP Stoinis
108,2010,Kolkata Knight Riders,AB Dinda
109,2015,Mumbai Indians,AP Tare
110,2019,Chennai Super Kings,DL Chahar
111,2009,Rajasthan Royals,M Rawat
112,2012,Pune Warriors,AB Dinda
113,2015,Royal Challengers Bangalore,AB Dinda
114,2016,Kings XI Punjab,Swapnil Singh
115,2008,Kings XI Punjab,VRV Singh
116,2015,Rajasthan Royals,SR Watson
117,2011,Kolkata Knight Riders,MS Bisla
118,2008,Rajasthan Royals,RA Jadeja
119,2019,Kolkata Knight Riders,N Rana
120,2008,Royal Challengers Bangalore,J Arunkumar
121,2014,Chennai Super Kings,IC Pandey
122,2012,Mumbai Indians,RJ Peterson
123,2016,Mumbai Indians,UBT Chand
124,2012,Pune Warriors,AC Thomas
125,2019,Sunrisers Hyderabad,WP Saha
126,2012,Rajasthan Royals,Pankaj Singh
127,2012,Kings XI Punjab,Harmeet Singh
128,2010,Delhi Daredevils,G Gambhir
129,2016,Gujarat Lions,DS Kulkarni
130,2018,Chennai Super Kings,Imran Tahir
131,2008,Rajasthan Royals,Niraj Patel
132,2008,Kings XI Punjab,RR Powar
133,2017,Mumbai Indians,R Vinay Kumar
134,2015,Rajasthan Royals,AM Rahane
135,2011,Delhi Daredevils,S Sriram
136,2018,Sunrisers Hyderabad,S Kaul
137,2011,Pune Warriors,SS Mundhe
138,2013,Chennai Super Kings,M Vijay
139,2016,Rising Pune Supergiants,F du Plessis
140,2016,Gujarat Lions,Ishan Kishan
141,2012,Pune Warriors,WD Parnell
142,2017,Sunrisers Hyderabad,MC Henriques
143,2012,Deccan Chargers,KC Sangakkara
144,2019,Rajasthan Royals,L Livingstone
145,2013,Kolkata Knight Riders,B Lee
146,2016,Gujarat Lions,SB Jakati
147,2019,Rajasthan Royals,A Turner
148,2009,Kings XI Punjab,VRV Singh
149,2012,Rajasthan Royals,AL Menaria
150,2014,Chennai Super Kings,S Badree
151,2010,Royal Challengers Bangalore,MK Pandey
152,2013,Royal Challengers Bangalore,R Rampaul
153,2014,Kolkata Knight Riders,AD Russell
154,2012,Mumbai Indians,SL Malinga
155,2018,Delhi Daredevils,Ankit Sharma
156,2016,Kolkata Knight Riders,SA Yadav
157,2013,Pune Warriors,Yuvraj Singh
158,2013,Pune Warriors,LRPL Taylor
159,2013,Sunrisers Hyderabad,Q de Kock
160,2009,Delhi Daredevils,V Sehwag
161,2010,Delhi Daredevils,UT Yadav
162,2015,Royal Challengers Bangalore,DJG Sammy
163,2013,Mumbai Indians,AT Rayudu
164,2011,Royal Challengers Bangalore,CA Pujara
165,2011,Kolkata Knight Riders,S Ladda
166,2008,Royal Challengers Bangalore,S Chanderpaul
167,2010,Kolkata Knight Riders,BB McCullum
168,2018,Mumbai Indians,E Lewis
169,2012,Royal Challengers Bangalore,P Parameswaran
170,2015,Kings XI Punjab,BE Hendricks
171,2018,Rajasthan Royals,DS Kulkarni
172,2019,Kolkata Knight Riders,P Raj
173,2011,Kolkata Knight Riders,SP Goswami
174,2010,Royal Challengers Bangalore,ND Doshi
175,2014,Royal Challengers Bangalore,Yuvraj Singh
176,2017,Mumbai Indians,SL Malinga
177,2009,Delhi Daredevils,MK Tiwary
178,2012,Mumbai Indians,RG Sharma
179,2018,Chennai Super Kings,SN Thakur
180,2016,Delhi Daredevils,J Yadav
181,2017,Mumbai Indians,TG Southee
182,2018,Sunrisers Hyderabad,SP Goswami
183,2013,Pune Warriors,UA Birla
184,2013,Kolkata Knight Riders,S Ladda
185,2018,Royal Challengers Bangalore,UT Yadav
186,2014,Rajasthan Royals,DS Kulkarni
187,2019,Chennai Super Kings,SN Thakur
188,2018,Rajasthan Royals,S Gopal
189,2008,Chennai Super Kings,P Amarnath
190,2008,Deccan Chargers,Y Venugopal Rao
191,2018,Royal Challengers Bangalore,PA Patel
192,2018,Rajasthan Royals,Anureet Singh
193,2017,Sunrisers Hyderabad,A Nehra
194,2008,Delhi Daredevils,MF Maharoof
195,2016,Kings XI Punjab,R Dhawan
196,2016,Delhi Daredevils,CH Morris
197,2008,Chennai Super Kings,S Vidyut
198,2015,Royal Challengers Bangalore,D Wiese
199,2017,Rising Pune Supergiant,DT Christian
200,2011,Kochi Tuskers Kerala,RR Powar
201,2016,Royal Challengers Bangalore,SR Watson
202,2018,Sunrisers Hyderabad,K Ahmed
203,2015,Kolkata Knight Riders,PP Chawla
204,2014,Sunrisers Hyderabad,KV Sharma
205,2014,Kings XI Punjab,BE Hendricks
206,2016,Royal Challengers Bangalore,KL Rahul
207,2017,Sunrisers Hyderabad,Mohammad Nabi
208,2010,Royal Challengers Bangalore,B Akhil
209,2012,Mumbai Indians,TL Suman
210,2019,Sunrisers Hyderabad,Mohammad Nabi
211,2010,Chennai Super Kings,JA Morkel
212,2012,Rajasthan Royals,DH Yagnik
213,2008,Chennai Super Kings,SK Raina
214,2012,Delhi Daredevils,P Negi
215,2015,Chennai Super Kings,MM Sharma
216,2019,Delhi Capitals,K Paul
217,2010,Deccan Chargers,A Symonds
218,2015,Kings XI Punjab,AR Patel
219,2015,Mumbai Indians,CJ Anderson
220,2018,Delhi Daredevils,V Shankar
221,2012,Rajasthan Royals,BJ Hodge
222,2011,Kings XI Punjab,Mandeep Singh
223,2015,Kolkata Knight Riders,UT Yadav
224,2016,Sunrisers Hyderabad,B Kumar
225,2013,Delhi Daredevils,AD Russell
226,2013,Delhi Daredevils,UBT Chand
227,2012,Mumbai Indians,DJ Jacobs
228,2012,Deccan Chargers,CL White
229,2017,Gujarat Lions,IK Pathan
230,2009,Chennai Super Kings,MS Dhoni
231,2019,Kings XI Punjab,Mohammed Shami
232,2017,Mumbai Indians,JC Buttler
233,2009,Kolkata Knight Riders,Mashrafe Mortaza
234,2019,Royal Challengers Bangalore,AD Nath
235,2011,Kochi Tuskers Kerala,B Akhil
236,2008,Chennai Super Kings,MS Dhoni
237,2012,Rajasthan Royals,SW Tait
238,2018,Delhi Daredevils,L Plunkett
239,2012,Rajasthan Royals,AM Rahane
240,2009,Deccan Chargers,FH Edwards
241,2019,Sunrisers Hyderabad,S Sharma
242,2012,Rajasthan Royals,A Chandila
243,2012,Pune Warriors,M Kartik
244,2013,Kings XI Punjab,Mandeep Singh
245,2014,Kolkata Knight Riders,RV Uthappa
246,2013,Royal Challengers Bangalore,MA Agarwal
247,2008,Mumbai Indians,RR Raje
248,2009,Royal Challengers Bangalore,A Kumble
249,2017,Gujarat Lions,DS Kulkarni
250,2019,Mumbai Indians,HH Pandya
251,2009,Rajasthan Royals,Niraj Patel
252,2017,Delhi Daredevils,PJ Cummins
253,2013,Chennai Super Kings,MS Dhoni
254,2012,Pune Warriors,LJ Wright
255,2015,Rajasthan Royals,R Bhatia
256,2018,Kolkata Knight Riders,S Mavi
257,2018,Rajasthan Royals,BA Stokes
258,2011,Mumbai Indians,SL Malinga
259,2012,Royal Challengers Bangalore,R Vinay Kumar
260,2014,Mumbai Indians,K Santokie
261,2017,Kings XI Punjab,MM Sharma
262,2019,Kolkata Knight Riders,AD Russell
263,2016,Royal Challengers Bangalore,YS Chahal
264,2019,Mumbai Indians,SL Malinga
265,2009,Royal Challengers Bangalore,DW Steyn
266,2012,Kolkata Knight Riders,JD Unadkat
267,2012,Kolkata Knight Riders,R Bhatia
268,2013,Kings XI Punjab,Harmeet Singh
269,2011,Pune Warriors,S Rana
270,2018,Kings XI Punjab,R Ashwin
271,2019,Royal Challengers Bangalore,Washington Sundar
272,2015,Kings XI Punjab,NLTC Perera
273,2012,Mumbai Indians,DR Smith
274,2015,Sunrisers Hyderabad,B Kumar
275,2016,Sunrisers Hyderabad,S Dhawan
276,2010,Deccan Chargers,Jaskaran Singh
277,2010,Royal Challengers Bangalore,V Kohli
278,2012,Rajasthan Royals,J Botha
279,2017,Kolkata Knight Riders,DM Bravo
280,2009,Delhi Daredevils,DL Vettori
281,2015,Royal Challengers Bangalore,AB de Villiers
282,2019,Mumbai Indians,RG Sharma
283,2013,Chennai Super Kings,WP Saha
284,2008,Kings XI Punjab,TM Srivastava
285,2018,Royal Challengers Bangalore,M Ashwin
286,2015,Delhi Daredevils,JD Unadkat
287,2008,Chennai Super Kings,JDP Oram
288,2009,Kings XI Punjab,T Kohli
289,2012,Kolkata Knight Riders,BB McCullum
290,2011,Kolkata Knight Riders,BJ Haddin
291,2012,Mumbai Indians,SR Tendulkar
292,2015,Sunrisers Hyderabad,I Sharma
293,2017,Gujarat Lions,MS Gony
294,2008,Deccan Chargers,DB Ravi Teja
295,2015,Royal Challengers Bangalore,KD Karthik
296,2018,Mumbai Indians,MJ McClenaghan
297,2012,Pune Warriors,MN Samuels
298,2010,Kolkata Knight Riders,Mandeep Singh
299,2012,Chennai Super Kings,R Ashwin
300,2013,Mumbai Indians,SR Tendulkar
301,2014,Sunrisers Hyderabad,Parvez Rasool
302,2018,Mumbai Indians,AS Yadav
303,2008,Royal Challengers Bangalore,AA Noffke
304,2009,Chennai Super Kings,S Badrinath
305,2018,Kings XI Punjab,KK Nair
306,2019,Chennai Super Kings,RA Jadeja
307,2015,Chennai Super Kings,P Negi
308,2008,Rajasthan Royals,SK Trivedi
309,2009,Delhi Daredevils,DA Warner
310,2012,Royal Challengers Bangalore,CH Gayle
311,2014,Royal Challengers Bangalore,PA Patel
312,2019,Kolkata Knight Riders,Kuldeep Yadav
313,2014,Royal Challengers Bangalore,AB de Villiers
314,2013,Kings XI Punjab,RJ Harris
315,2010,Deccan Chargers,VVS Laxman
316,2017,Kings XI Punjab,T Natarajan
317,2011,Delhi Daredevils,CA Ingram
318,2018,Delhi Daredevils,CH Morris
319,2017,Delhi Daredevils,SV Samson
320,2016,Mumbai Indians,JJ Bumrah
321,2008,Kings XI Punjab,SE Marsh
322,2018,Royal Challengers Bangalore,Q de Kock
323,2016,Delhi Daredevils,Q de Kock
324,2014,Sunrisers Hyderabad,S Anirudha
325,2011,Delhi Daredevils,IK Pathan
326,2014,Kings XI Punjab,DA Miller
327,2011,Kings XI Punjab,Sunny Singh
328,2016,Royal Challengers Bangalore,S Aravind
329,2018,Sunrisers Hyderabad,A Hales
330,2009,Rajasthan Royals,T Henderson
331,2009,Kolkata Knight Riders,CK Langeveldt
332,2014,Kings XI Punjab,Shivam Sharma
333,2010,Kings XI Punjab,KC Sangakkara
334,2017,Royal Challengers Bangalore,S Aravind
335,2012,Kings XI Punjab,P Kumar
336,2009,Deccan Chargers,AA Bilakhia
337,2008,Royal Challengers Bangalore,DT Patil
338,2011,Kolkata Knight Riders,EJG Morgan
339,2012,Rajasthan Royals,SR Watson
340,2016,Rising Pune Supergiants,AB Dinda
341,2018,Royal Challengers Bangalore,C de Grandhomme
342,2008,Royal Challengers Bangalore,LRPL Taylor
343,2013,Delhi Daredevils,V Sehwag
344,2013,Mumbai Indians,SL Malinga
345,2017,Rising Pune Supergiant,JD Unadkat
346,2013,Pune Warriors,SPD Smith
347,2012,Deccan Chargers,PA Reddy
348,2019,Mumbai Indians,E Lewis
349,2013,Chennai Super Kings,SK Raina
350,2016,Gujarat Lions,PJ Sangwan
351,2010,Deccan Chargers,PP Ojha
352,2012,Rajasthan Royals,STR Binny
353,2016,Royal Challengers Bangalore,TM Head
354,2010,Rajasthan Royals,AC Voges
355,2018,Mumbai Indians,Mustafizur Rahman
356,2013,Kolkata Knight Riders,G Gambhir
357,2013,Kolkata Knight Riders,MS Bisla
358,2015,Kolkata Knight Riders,RN ten Doeschate
359,2016,Rising Pune Supergiants,JA Morkel
360,2009,Chennai Super Kings,T Thushara
361,2017,Delhi Daredevils,KK Nair
362,2017,Royal Challengers Bangalore,TM Head
363,2012,Kings XI Punjab,SE Marsh
364,2010,Deccan Chargers,AA Bilakhia
365,2019,Sunrisers Hyderabad,V Shankar
366,2010,Chennai Super Kings,MS Gony
367,2019,Kings XI Punjab,Mandeep Singh
368,2012,Kolkata Knight Riders,Shakib Al Hasan
369,2014,Mumbai Indians,S Gopal
370,2018,Rajasthan Royals,B Laughlin
371,2013,Royal Challengers Bangalore,JD Unadkat
372,2015,Kolkata Knight Riders,J Botha
373,2015,Sunrisers Hyderabad,KS Williamson
374,2017,Rising Pune Supergiant,LH Ferguson
375,2011,Pune Warriors,Kamran Khan
376,2019,Kings XI Punjab,S Singh
377,2017,Gujarat Lions,NB Singh
378,2012,Kolkata Knight Riders,B Lee
379,2015,Delhi Daredevils,CM Gautam
380,2013,Pune Warriors,AD Mathews
381,2012,Mumbai Indians,DS Kulkarni
382,2016,Delhi Daredevils,P Negi
383,2018,Delhi Daredevils,RR Pant
384,2010,Rajasthan Royals,AD Mascarenhas
385,2012,Pune Warriors,A Nehra
386,2013,Delhi Daredevils,UT Yadav
387,2013,Kolkata Knight Riders,Mohammed Shami
388,2014,Delhi Daredevils,Q de Kock
389,2017,Kolkata Knight Riders,SA Yadav
390,2019,Chennai Super Kings,Imran Tahir
391,2017,Sunrisers Hyderabad,BCJ Cutting
392,2010,Chennai Super Kings,C Ganapathy
393,2017,Sunrisers Hyderabad,Rashid Khan
394,2018,Sunrisers Hyderabad,DJ Hooda
395,2014,Kolkata Knight Riders,M Morkel
396,2011,Kings XI Punjab,NJ Rimmington
397,2012,Kolkata Knight Riders,L Balaji
398,2018,Royal Challengers Bangalore,P Negi
399,2011,Royal Challengers Bangalore,AUK Pathan
400,2011,Rajasthan Royals,LRPL Taylor
401,2016,Rising Pune Supergiants,I Sharma
402,2018,Royal Challengers Bangalore,M Ali
403,2013,Delhi Daredevils,KM Jadhav
404,2017,Sunrisers Hyderabad,CJ Jordan
405,2014,Kolkata Knight Riders,JH Kallis
406,2016,Royal Challengers Bangalore,CH Gayle
407,2011,Mumbai Indians,SR Tendulkar
408,2019,Kolkata Knight Riders,KC Cariappa
409,2015,Delhi Daredevils,GS Sandhu
410,2015,Sunrisers Hyderabad,MC Henriques
411,2012,Kolkata Knight Riders,MK Tiwary
412,2016,Gujarat Lions,P Kumar
413,2012,Pune Warriors,R Sharma
414,2015,Sunrisers Hyderabad,TA Boult
415,2013,Mumbai Indians,YS Chahal
416,2017,Kings XI Punjab,MP Stoinis
417,2008,Royal Challengers Bangalore,SP Goswami
418,2008,Royal Challengers Bangalore,B Chipli
419,2012,Chennai Super Kings,DE Bollinger
420,2010,Royal Challengers Bangalore,CL White
421,2018,Delhi Daredevils,R Tewatia
422,2010,Rajasthan Royals,GC Smith
423,2017,Rising Pune Supergiant,SN Thakur
424,2016,Mumbai Indians,PA Patel
425,2012,Royal Challengers Bangalore,S Aravind
426,2011,Kings XI Punjab,BA Bhatt
427,2017,Kolkata Knight Riders,SP Narine
428,2018,Delhi Daredevils,Mohammed Shami
429,2012,Pune Warriors,AD Mathews
430,2015,Chennai Super Kings,DJ Bravo
431,2016,Sunrisers Hyderabad,NV Ojha
432,2008,Kolkata Knight Riders,T Taibu
433,2018,Kolkata Knight Riders,Kuldeep Yadav
434,2013,Kolkata Knight Riders,DB Das
435,2019,Chennai Super Kings,M Vijay
436,2011,Kings XI Punjab,P Kumar
437,2011,Royal Challengers Bangalore,SS Tiwary
438,2019,Royal Challengers Bangalore,AB de Villiers
439,2008,Mumbai Indians,SD Chitnis
440,2008,Deccan Chargers,AC Gilchrist
441,2017,Gujarat Lions,P Kumar
442,2013,Sunrisers Hyderabad,Ankit Sharma
443,2009,Delhi Daredevils,PJ Sangwan
444,2010,Kings XI Punjab,M Kaif
445,2009,Mumbai Indians,L Ronchi
446,2019,Rajasthan Royals,I Sodhi
447,2015,Delhi Daredevils,A Mishra
448,2017,Mumbai Indians,Harbhajan Singh
449,2008,Kings XI Punjab,Yuvraj Singh
450,2011,Royal Challengers Bangalore,LA Pomersbach
451,2011,Kochi Tuskers Kerala,OA Shah
452,2012,Delhi Daredevils,LRPL Taylor
453,2012,Deccan Chargers,A Ashish Reddy
454,2012,Deccan Chargers,V Pratap Singh
455,2013,Delhi Daredevils,P Negi
456,2016,Delhi Daredevils,A Mishra
457,2016,Kings XI Punjab,SE Marsh
458,2016,Mumbai Indians,RG Sharma
459,2017,Royal Challengers Bangalore,Iqbal Abdulla
460,2018,Delhi Daredevils,J Dala
461,2011,Rajasthan Royals,SW Tait
462,2008,Rajasthan Royals,D Salunkhe
463,2012,Kings XI Punjab,JP Faulkner
464,2012,Deccan Chargers,A Mishra
465,2018,Delhi Daredevils,P Shaw
466,2016,Kings XI Punjab,MG Johnson
467,2012,Pune Warriors,MJ Clarke
468,2011,Deccan Chargers,IR Jaggi
469,2017,Kolkata Knight Riders,NM Coulter-Nile
470,2016,Delhi Daredevils,CR Brathwaite
471,2009,Deccan Chargers,SB Styris
472,2015,Mumbai Indians,PP Ojha
473,2016,Rising Pune Supergiants,R Ashwin
474,2018,Royal Challengers Bangalore,TG Southee
475,2011,Royal Challengers Bangalore,DL Vettori
476,2009,Mumbai Indians,YV Takawale
477,2017,Gujarat Lions,AD Nath
478,2015,Kings XI Punjab,DA Miller
479,2018,Chennai Super Kings,SR Watson
480,2014,Royal Challengers Bangalore,CH Gayle
481,2010,Rajasthan Royals,AG Paunikar
482,2013,Delhi Daredevils,IK Pathan
483,2014,Delhi Daredevils,JP Duminy
484,2017,Sunrisers Hyderabad,NV Ojha
485,2014,Mumbai Indians,P Suyal
486,2009,Mumbai Indians,SS Tiwary
487,2016,Rising Pune Supergiants,M Ashwin
488,2013,Pune Warriors,AG Murtaza
489,2009,Royal Challengers Bangalore,KP Appanna
490,2013,Kolkata Knight Riders,SMSM Senanayake
491,2016,Rising Pune Supergiants,DL Chahar
492,2012,Mumbai Indians,AT Rayudu
493,2010,Kolkata Knight Riders,MB Parmar
494,2019,Royal Challengers Bangalore,DW Steyn
495,2011,Mumbai Indians,AT Rayudu
496,2018,Mumbai Indians,KA Pollard
497,2013,Delhi Daredevils,DA Warner
498,2008,Mumbai Indians,A Nehra
499,2015,Sunrisers Hyderabad,Parvez Rasool
500,2009,Kings XI Punjab,SM Katich
501,2016,Kolkata Knight Riders,JD Unadkat
502,2019,Kolkata Knight Riders,SP Narine
503,2010,Mumbai Indians,SS Tiwary
504,2011,Deccan Chargers,CL White
505,2016,Kings XI Punjab,MM Sharma
506,2009,Royal Challengers Bangalore,R Vinay Kumar
507,2019,Kings XI Punjab,N Pooran
508,2017,Delhi Daredevils,RR Pant
509,2014,Kings XI Punjab,M Kartik
510,2016,Royal Challengers Bangalore,HV Patel
