,season,team,player
511,2011,Kolkata Knight Riders,JD Unadkat
512,2019,Royal Challengers Bangalore,V Kohli
513,2010,Deccan Chargers,Y Venugopal Rao
514,2010,Chennai Super Kings,GJ Bailey
515,2011,Rajasthan Royals,AL Menaria
516,2016,Sunrisers Hyderabad,A Nehra
517,2015,Rajasthan Royals,TG Southee
518,2012,Pune Warriors,MD Mishra
519,2008,Royal Challengers Bangalore,MV Boucher
520,2012,Royal Challengers Bangalore,Z Khan
521,2014,Kings XI Punjab,AR Patel
522,2016,Kings XI Punjab,Gurkeerat Singh
523,2011,Delhi Daredevils,UT Yadav
524,2015,Delhi Daredevils,S Nadeem
525,2009,Chennai Super Kings,R Ashwin
526,2009,Kings XI Punjab,YA Abdulla
527,2013,Chennai Super Kings,JA Morkel
528,2013,Kings XI Punjab,Azhar Mahmood
529,2015,Kolkata Knight Riders,Azhar Mahmood
530,2008,Chennai Super Kings,MS Gony
531,2019,Chennai Super Kings,SK Raina
532,2012,Deccan Chargers,S Dhawan
533,2014,Kings XI Punjab,GJ Bailey
534,2016,Royal Challengers Bangalore,STR Binny
535,2012,Royal Challengers Bangalore,AUK Pathan
536,2017,Rising Pune Supergiant,Ankit Sharma
537,2009,Mumbai Indians,SR Tendulkar
538,2008,Royal Challengers Bangalore,Misbah-ul-Haq
539,2008,Kings XI Punjab,SM Katich
540,2019,Kings XI Punjab,R Ashwin
541,2016,Kolkata Knight Riders,JO Holder
542,2019,Kings XI Punjab,KK Nair
543,2011,Rajasthan Royals,AG Paunikar
544,2010,Deccan Chargers,HH Gibbs
545,2010,Deccan Chargers,MD Mishra
546,2017,Rising Pune Supergiant,BA Stokes
547,2008,Mumbai Indians,DS Kulkarni
548,2012,Deccan Chargers,Anand Rajan
549,2010,Rajasthan Royals,SK Trivedi
550,2011,Rajasthan Royals,FY Fazal
551,2019,Royal Challengers Bangalore,PA Patel
552,2008,Kolkata Knight Riders,DB Das
553,2016,Kings XI Punjab,HM Amla
554,2017,Delhi Daredevils,K Rabada
555,2011,Pune Warriors,SC Ganguly
556,2014,Rajasthan Royals,KK Nair
557,2010,Rajasthan Royals,AP Dole
558,2012,Deccan Chargers,B Chipli
559,2010,Kolkata Knight Riders,RS Gavaskar
560,2019,Sunrisers Hyderabad,Rashid Khan
561,2017,Rising Pune Supergiant,A Zampa
562,2009,Deccan Chargers,RP Singh
563,2016,Mumbai Indians,J Suchith
564,2016,Sunrisers Hyderabad,Mustafizur Rahman
565,2010,Kings XI Punjab,J Theron
566,2013,Kings XI Punjab,AD Mascarenhas
567,2014,Kolkata Knight Riders,RN ten Doeschate
568,2018,Delhi Daredevils,A Mishra
569,2019,Delhi Capitals,C Munro
570,2015,Royal Challengers Bangalore,VR Aaron
571,2019,Chennai Super Kings,DJ Bravo
572,2008,Delhi Daredevils,A Mishra
573,2019,Sunrisers Hyderabad,YK Pathan
574,2013,Sunrisers Hyderabad,I Sharma
575,2010,Kings XI Punjab,VRV Singh
576,2012,Delhi Daredevils,AD Russell
577,2017,Kolkata Knight Riders,Shakib Al Hasan
578,2010,Chennai Super Kings,S Anirudha
579,2015,Rajasthan Royals,STR Binny
580,2014,Rajasthan Royals,R Bhatia
581,2016,Delhi Daredevils,Z Khan
582,2019,Rajasthan Royals,AM Rahane
583,2009,Kolkata Knight Riders,SS Shaikh
584,2019,Kings XI Punjab,H Viljoen
585,2012,Mumbai Indians,KA Pollard
586,2018,Delhi Daredevils,DT Christian
587,2013,Mumbai Indians,RG Sharma
588,2018,Delhi Daredevils,S Lamichhane
589,2011,Chennai Super Kings,S Badrinath
590,2016,Royal Challengers Bangalore,VR Aaron
591,2016,Gujarat Lions,RA Jadeja
592,2019,Royal Challengers Bangalore,MP Stoinis
593,2012,Delhi Daredevils,AJ Finch
594,2013,Pune Warriors,RV Uthappa
595,2010,Delhi Daredevils,R Bhatia
596,2009,Royal Challengers Bangalore,JH Kallis
597,2015,Rajasthan Royals,KK Nair
598,2009,Kings XI Punjab,K Goel
599,2010,Delhi Daredevils,TM Dilshan
600,2012,Royal Challengers Bangalore,J Syed Mohammad
601,2009,Kolkata Knight Riders,CH Gayle
602,2014,Royal Challengers Bangalore,YS Chahal
603,2014,Rajasthan Royals,TG Southee
604,2019,Rajasthan Royals,BA Stokes
605,2017,Sunrisers Hyderabad,KS Williamson
606,2013,Royal Challengers Bangalore,M Muralitharan
607,2009,Mumbai Indians,RA Shaikh
608,2019,Delhi Capitals,C Ingram
609,2017,Mumbai Indians,SS Tiwary
610,2013,Kolkata Knight Riders,EJG Morgan
611,2008,Delhi Daredevils,V Sehwag
612,2014,Mumbai Indians,M de Lange
613,2010,Kolkata Knight Riders,BAW Mendis
614,2019,Mumbai Indians,Yuvraj Singh
615,2008,Rajasthan Royals,GC Smith
616,2016,Kolkata Knight Riders,MK Pandey
617,2012,Deccan Chargers,J Theron
618,2013,Sunrisers Hyderabad,A Ashish Reddy
619,2017,Kolkata Knight Riders,G Gambhir
620,2018,Mumbai Indians,JP Duminy
621,2013,Mumbai Indians,PP Ojha
622,2011,Royal Challengers Bangalore,TM Dilshan
623,2016,Kings XI Punjab,M Vohra
624,2011,Royal Challengers Bangalore,J Syed Mohammad
625,2011,Delhi Daredevils,UBT Chand
626,2009,Chennai Super Kings,MS Gony
627,2017,Kolkata Knight Riders,PP Chawla
628,2010,Kings XI Punjab,VS Malik
629,2016,Royal Challengers Bangalore,KM Jadhav
630,2012,Kolkata Knight Riders,LR Shukla
631,2011,Mumbai Indians,DS Kulkarni
632,2015,Kings XI Punjab,M Vijay
633,2018,Rajasthan Royals,Ankit Sharma
634,2008,Mumbai Indians,YV Takawale
635,2019,Rajasthan Royals,SV Samson
636,2017,Mumbai Indians,MJ McClenaghan
637,2010,Royal Challengers Bangalore,R Vinay Kumar
638,2011,Pune Warriors,Harpreet Singh
639,2017,Royal Challengers Bangalore,YS Chahal
640,2013,Kings XI Punjab,PC Valthaty
641,2016,Mumbai Indians,Harbhajan Singh
642,2015,Mumbai Indians,S Gopal
643,2012,Chennai Super Kings,WP Saha
644,2008,Chennai Super Kings,S Badrinath
645,2016,Kings XI Punjab,KC Cariappa
646,2017,Royal Challengers Bangalore,STR Binny
647,2018,Chennai Super Kings,AT Rayudu
648,2011,Mumbai Indians,AG Murtaza
649,2013,Kings XI Punjab,SE Marsh
650,2019,Royal Challengers Bangalore,N Saini
651,2018,Chennai Super Kings,KM Asif
652,2015,Rajasthan Royals,DS Kulkarni
653,2009,Kings XI Punjab,LA Pomersbach
654,2015,Chennai Super Kings,BB McCullum
655,2013,Royal Challengers Bangalore,AB de Villiers
656,2012,Kolkata Knight Riders,PJ Sangwan
657,2011,Kings XI Punjab,AM Nayar
658,2017,Kolkata Knight Riders,AS Rajpoot
659,2014,Delhi Daredevils,MA Agarwal
660,2008,Kings XI Punjab,JR Hopes
661,2010,Rajasthan Royals,SK Warne
662,2011,Pune Warriors,M Kartik
663,2012,Delhi Daredevils,NV Ojha
664,2008,Deccan Chargers,DP Vijaykumar
665,2018,Mumbai Indians,A Dananjaya
666,2010,Deccan Chargers,WPUJC Vaas
667,2011,Royal Challengers Bangalore,Z Khan
668,2019,Kolkata Knight Riders,CR Brathwaite
669,2012,Delhi Daredevils,V Sehwag
670,2018,Kings XI Punjab,AJ Finch
671,2012,Kings XI Punjab,AC Gilchrist
672,2015,Kolkata Knight Riders,PJ Cummins
673,2019,Kolkata Knight Riders,KD Karthik
674,2019,Chennai Super Kings,D Shorey
675,2017,Royal Challengers Bangalore,Sachin Baby
676,2015,Kolkata Knight Riders,Shakib Al Hasan
677,2016,Rising Pune Supergiants,SS Tiwary
678,2012,Chennai Super Kings,MEK Hussey
679,2012,Delhi Daredevils,UT Yadav
680,2015,Sunrisers Hyderabad,A Ashish Reddy
681,2014,Rajasthan Royals,R Tewatia
682,2017,Gujarat Lions,JJ Roy
683,2013,Kings XI Punjab,Gurkeerat Singh
684,2019,Mumbai Indians,BB Sran
685,2009,Rajasthan Royals,RA Jadeja
686,2018,Chennai Super Kings,MS Dhoni
687,2008,Delhi Daredevils,KD Karthik
688,2011,Rajasthan Royals,DH Yagnik
689,2008,Kings XI Punjab,LA Pomersbach
690,2012,Delhi Daredevils,DAJ Bracewell
691,2015,Kolkata Knight Riders,KC Cariappa
692,2016,Rising Pune Supergiants,PSP Handscomb
693,2019,Kings XI Punjab,H Brar
694,2012,Deccan Chargers,AA Jhunjhunwala
695,2008,Mumbai Indians,RV Uthappa
696,2009,Chennai Super Kings,SB Jakati
697,2009,Deccan Chargers,TL Suman
698,2008,Kings XI Punjab,B Lee
699,2014,Kolkata Knight Riders,R Vinay Kumar
700,2011,Rajasthan Royals,R Dravid
701,2013,Royal Challengers Bangalore,AB McDonald
702,2011,Chennai Super Kings,MS Dhoni
703,2012,Delhi Daredevils,RE van der Merwe
704,2013,Delhi Daredevils,S Nadeem
705,2019,Delhi Capitals,Avesh Khan
706,2012,Delhi Daredevils,DA Warner
707,2015,Rajasthan Royals,BB Sran
708,2013,Royal Challengers Bangalore,M Kartik
709,2019,Mumbai Indians,MJ McClenaghan
710,2011,Deccan Chargers,I Malhotra
711,2008,Kolkata Knight Riders,BB McCullum
712,2012,Kolkata Knight Riders,G Gambhir
713,2018,Sunrisers Hyderabad,S Dhawan
714,2016,Sunrisers Hyderabad,TA Boult
715,2013,Mumbai Indians,RT Ponting
716,2014,Delhi Daredevils,MK Tiwary
717,2013,Mumbai Indians,JJ Bumrah
718,2012,Mumbai Indians,JEC Franklin
719,2014,Sunrisers Hyderabad,DW Steyn
720,2015,Kolkata Knight Riders,MK Pandey
721,2019,Delhi Capitals,S Lamichhane
722,2011,Kings XI Punjab,SJ Srivastava
723,2012,Royal Challengers Bangalore,AB McDonald
724,2011,Rajasthan Royals,AM Rahane
725,2011,Chennai Super Kings,R Ashwin
726,2016,Gujarat Lions,KD Karthik
727,2010,Chennai Super Kings,SB Jakati
728,2018,Chennai Super Kings,Harbhajan Singh
729,2012,Royal Challengers Bangalore,DL Vettori
730,2008,Deccan Chargers,WPUJC Vaas
731,2013,Sunrisers Hyderabad,A Mishra
732,2018,Kings XI Punjab,AD Nath
733,2009,Kolkata Knight Riders,BJ Hodge
734,2015,Sunrisers Hyderabad,DA Warner
735,2011,Kolkata Knight Riders,LR Shukla
736,2010,Chennai Super Kings,S Badrinath
737,2009,Rajasthan Royals,SK Warne
738,2011,Royal Challengers Bangalore,AA Kazi
739,2011,Chennai Super Kings,WP Saha
740,2009,Rajasthan Royals,LA Carseldine
741,2018,Kings XI Punjab,CH Gayle
742,2017,Gujarat Lions,Basil Thampi
743,2019,Kolkata Knight Riders,S Warrier
744,2009,Kolkata Knight Riders,AB Agarkar
745,2013,Rajasthan Royals,SR Watson
746,2019,Royal Challengers Bangalore,M Ali
747,2010,Kolkata Knight Riders,I Sharma
748,2010,Mumbai Indians,KA Pollard
749,2019,Sunrisers Hyderabad,Basil Thampi
750,2015,Mumbai Indians,SL Malinga
751,2016,Delhi Daredevils,RR Pant
752,2010,Delhi Daredevils,AB McDonald
753,2009,Chennai Super Kings,L Balaji
754,2016,Gujarat Lions,ER Dwivedi
755,2011,Kochi Tuskers Kerala,M Muralitharan
756,2013,Pune Warriors,B Kumar
757,2013,Delhi Daredevils,BJ Rohrer
758,2016,Mumbai Indians,AT Rayudu
759,2016,Delhi Daredevils,SW Billings
760,2013,Delhi Daredevils,NV Ojha
761,2009,Kolkata Knight Riders,WP Saha
762,2009,Chennai Super Kings,SK Raina
763,2010,Mumbai Indians,JP Duminy
764,2008,Mumbai Indians,AM Rahane
765,2016,Delhi Daredevils,S Nadeem
766,2017,Royal Challengers Bangalore,CH Gayle
767,2018,Chennai Super Kings,SK Raina
768,2008,Rajasthan Royals,SA Asnodkar
769,2018,Kolkata Knight Riders,S Gill
770,2011,Pune Warriors,AA Jhunjhunwala
771,2016,Kolkata Knight Riders,JW Hastings
772,2011,Chennai Super Kings,SK Raina
773,2011,Delhi Daredevils,AB Agarkar
774,2010,Delhi Daredevils,PD Collingwood
775,2016,Delhi Daredevils,Mohammed Shami
776,2010,Delhi Daredevils,AB de Villiers
777,2008,Kings XI Punjab,KC Sangakkara
778,2019,Delhi Capitals,S Dhawan
779,2009,Mumbai Indians,RR Raje
780,2017,Mumbai Indians,LMP Simmons
781,2009,Kings XI Punjab,PP Chawla
782,2018,Kings XI Punjab,KL Rahul
783,2019,Mumbai Indians,RD Chahar
784,2013,Mumbai Indians,R Dhawan
785,2008,Royal Challengers Bangalore,W Jaffer
786,2014,Mumbai Indians,Z Khan
787,2010,Rajasthan Royals,NV Ojha
788,2019,Rajasthan Royals,O Thomas
789,2018,Rajasthan Royals,JC Buttler
790,2016,Kings XI Punjab,Anureet Singh
791,2010,Deccan Chargers,MR Marsh
792,2015,Delhi Daredevils,JA Morkel
793,2017,Kolkata Knight Riders,C de Grandhomme
794,2018,Kolkata Knight Riders,N Rana
795,2016,Kings XI Punjab,NS Naik
796,2015,Kings XI Punjab,Shivam Sharma
797,2010,Kings XI Punjab,PP Chawla
798,2009,Mumbai Indians,GR Napier
799,2012,Deccan Chargers,PA Patel
800,2018,Royal Challengers Bangalore,Mohammed Siraj
801,2019,Mumbai Indians,A Joseph
802,2013,Sunrisers Hyderabad,Anand Rajan
803,2019,Kings XI Punjab,SN Khan
804,2011,Chennai Super Kings,TG Southee
805,2012,Chennai Super Kings,SK Raina
806,2011,Pune Warriors,CJ Ferguson
807,2013,Royal Challengers Bangalore,J Syed Mohammad
808,2012,Chennai Super Kings,BW Hilfenhaus
809,2009,Kolkata Knight Riders,SC Ganguly
810,2008,Deccan Chargers,Shahid Afridi
811,2015,Sunrisers Hyderabad,KL Rahul
812,2015,Chennai Super Kings,MS Dhoni
813,2015,Royal Challengers Bangalore,SA Abbott
814,2008,Royal Challengers Bangalore,Abdur Razzak
815,2015,Delhi Daredevils,Z Khan
816,2015,Kings XI Punjab,R Dhawan
817,2013,Rajasthan Royals,A Chandila
818,2011,Chennai Super Kings,KMDN Kulasekara
819,2014,Mumbai Indians,CJ Anderson
820,2013,Kolkata Knight Riders,R McLaren
821,2019,Rajasthan Royals,R Parag
822,2016,Gujarat Lions,DJ Bravo
823,2019,Chennai Super Kings,S Kuggeleijn
824,2009,Deccan Chargers,DR Smith
825,2016,Sunrisers Hyderabad,Yuvraj Singh
826,2010,Royal Challengers Bangalore,S Sriram
827,2017,Sunrisers Hyderabad,V Shankar
828,2016,Kings XI Punjab,DA Miller
829,2017,Gujarat Lions,PJ Sangwan
830,2017,Sunrisers Hyderabad,DA Warner
831,2011,Deccan Chargers,MJ Lumb
832,2019,Sunrisers Hyderabad,J Bairstow
833,2014,Rajasthan Royals,KK Cooper
834,2015,Chennai Super Kings,SK Raina
835,2017,Royal Challengers Bangalore,AF Milne
836,2013,Royal Challengers Bangalore,TM Dilshan
837,2011,Deccan Chargers,DW Steyn
838,2010,Deccan Chargers,B Sumanth
839,2009,Kings XI Punjab,Yuvraj Singh
840,2011,Pune Warriors,JE Taylor
841,2012,Mumbai Indians,R Shukla
842,2016,Kolkata Knight Riders,G Gambhir
843,2009,Deccan Chargers,RG Sharma
844,2012,Kings XI Punjab,DA Miller
845,2009,Rajasthan Royals,SD Chitnis
846,2019,Royal Challengers Bangalore,UT Yadav
847,2010,Deccan Chargers,DR Smith
848,2010,Rajasthan Royals,Kamran Khan
849,2017,Royal Challengers Bangalore,P Negi
850,2017,Kings XI Punjab,AR Patel
851,2012,Pune Warriors,M Manhas
852,2011,Pune Warriors,AC Thomas
853,2009,Rajasthan Royals,MM Patel
854,2011,Chennai Super Kings,JA Morkel
855,2019,Sunrisers Hyderabad,DJ Hooda
856,2014,Delhi Daredevils,LR Shukla
857,2012,Royal Challengers Bangalore,AB de Villiers
858,2019,Royal Challengers Bangalore,TG Southee
859,2009,Kings XI Punjab,VS Malik
860,2011,Royal Challengers Bangalore,CH Gayle
861,2008,Mumbai Indians,SS Tiwary
862,2014,Sunrisers Hyderabad,DJG Sammy
863,2017,Mumbai Indians,N Rana
864,2011,Kings XI Punjab,KD Karthik
865,2009,Delhi Daredevils,VY Mahesh
866,2008,Deccan Chargers,RP Singh
867,2014,Mumbai Indians,LMP Simmons
868,2018,Kolkata Knight Riders,RV Uthappa
869,2013,Rajasthan Royals,R Shukla
870,2012,Chennai Super Kings,SB Jakati
871,2010,Delhi Daredevils,A Nehra
872,2010,Kolkata Knight Riders,AD Mathews
873,2009,Royal Challengers Bangalore,RV Uthappa
874,2014,Royal Challengers Bangalore,S Rana
875,2019,Kings XI Punjab,KL Rahul
876,2019,Rajasthan Royals,S Gopal
877,2008,Deccan Chargers,AS Yadav
878,2012,Chennai Super Kings,MS Dhoni
879,2017,Sunrisers Hyderabad,Mohammed Siraj
880,2009,Mumbai Indians,S Dhawan
881,2009,Chennai Super Kings,GJ Bailey
882,2014,Kolkata Knight Riders,SP Narine
883,2016,Kolkata Knight Riders,Shakib Al Hasan
884,2014,Mumbai Indians,Harbhajan Singh
885,2009,Royal Challengers Bangalore,KV Sharma
886,2017,Royal Challengers Bangalore,Avesh Khan
887,2008,Mumbai Indians,ST Jayasuriya
888,2018,Mumbai Indians,PJ Sangwan
889,2008,Deccan Chargers,DNT Zoysa
890,2015,Mumbai Indians,KA Pollard
891,2011,Chennai Super Kings,MEK Hussey
892,2009,Kolkata Knight Riders,AD Mathews
893,2018,Royal Challengers Bangalore,BB McCullum
894,2013,Chennai Super Kings,S Badrinath
895,2015,Kings XI Punjab,Sandeep Sharma
896,2011,Delhi Daredevils,Y Venugopal Rao
897,2013,Kings XI Punjab,Sandeep Sharma
898,2013,Rajasthan Royals,AL Menaria
899,2014,Royal Challengers Bangalore,MA Starc
900,2011,Deccan Chargers,S Dhawan
901,2014,Kings XI Punjab,SE Marsh
902,2018,Kolkata Knight Riders,PP Chawla
903,2018,Mumbai Indians,RG Sharma
904,2018,Delhi Daredevils,C Munro
905,2010,Rajasthan Royals,AS Raut
906,2010,Mumbai Indians,STR Binny
907,2012,Pune Warriors,JD Ryder
908,2010,Mumbai Indians,R Sathish
909,2018,Sunrisers Hyderabad,B Stanlake
910,2012,Deccan Chargers,MS Gony
911,2014,Delhi Daredevils,LRPL Taylor
912,2011,Delhi Daredevils,V Sehwag
913,2011,Kochi Tuskers Kerala,S Sreesanth
914,2013,Pune Warriors,M Manhas
915,2008,Chennai Super Kings,M Muralitharan
916,2011,Mumbai Indians,RG Sharma
917,2012,Rajasthan Royals,OA Shah
918,2015,Royal Challengers Bangalore,AN Ahmed
919,2015,Delhi Daredevils,NM Coulter-Nile
920,2016,Mumbai Indians,MJ McClenaghan
921,2013,Delhi Daredevils,A Nehra
922,2012,Kings XI Punjab,AD Mascarenhas
923,2009,Mumbai Indians,Mohammad Ashraful
924,2015,Delhi Daredevils,DJ Muthuswami
925,2018,Kolkata Knight Riders,T Curran
926,2008,Deccan Chargers,D Kalyankrishna
927,2011,Kochi Tuskers Kerala,PA Patel
928,2012,Kolkata Knight Riders,Iqbal Abdulla
929,2011,Chennai Super Kings,DE Bollinger
930,2011,Royal Challengers Bangalore,DP Nannes
931,2009,Kolkata Knight Riders,A Chopra
932,2014,Mumbai Indians,MEK Hussey
933,2010,Rajasthan Royals,SR Watson
934,2012,Mumbai Indians,HH Gibbs
935,2010,Kings XI Punjab,RS Sodhi
936,2015,Kings XI Punjab,SE Marsh
937,2008,Kings XI Punjab,S Sohal
938,2011,Pune Warriors,JD Ryder
939,2012,Kings XI Punjab,P Awana
940,2016,Kings XI Punjab,KJ Abbott
941,2013,Royal Challengers Bangalore,MC Henriques
942,2010,Royal Challengers Bangalore,SP Goswami
943,2013,Kolkata Knight Riders,LR Shukla
944,2008,Mumbai Indians,DJ Bravo
945,2008,Royal Challengers Bangalore,CL White
946,2009,Royal Challengers Bangalore,LRPL Taylor
947,2013,Kings XI Punjab,LA Pomersbach
948,2013,Chennai Super Kings,DP Nannes
949,2017,Kings XI Punjab,Swapnil Singh
950,2013,Sunrisers Hyderabad,PA Patel
951,2018,Rajasthan Royals,D Short
952,2008,Chennai Super Kings,L Balaji
953,2019,Sunrisers Hyderabad,Ankit Sharma
954,2009,Chennai Super Kings,ML Hayden
955,2015,Chennai Super Kings,IC Pandey
956,2015,Kings XI Punjab,Gurkeerat Singh
957,2009,Rajasthan Royals,M Morkel
958,2017,Kings XI Punjab,GJ Maxwell
959,2018,Kolkata Knight Riders,AD Russell
960,2018,Kolkata Knight Riders,SP Narine
961,2015,Kings XI Punjab,M Vohra
962,2010,Royal Challengers Bangalore,DW Steyn
963,2013,Delhi Daredevils,B Chipli
964,2014,Chennai Super Kings,DJ Hussey
965,2010,Rajasthan Royals,A Uniyal
966,2010,Kings XI Punjab,AB Barath
967,2013,Royal Challengers Bangalore,CH Gayle
968,2013,Kolkata Knight Riders,PJ Sangwan
969,2016,Royal Challengers Bangalore,V Kohli
970,2008,Mumbai Indians,DR Smith
971,2017,Gujarat Lions,Tejas Baroka
972,2011,Delhi Daredevils,AM Salvi
973,2014,Kings XI Punjab,WP Saha
974,2008,Kings XI Punjab,K Goel
975,2016,Kolkata Knight Riders,R Sathish
976,2017,Royal Challengers Bangalore,KM Jadhav
977,2014,Delhi Daredevils,JDS Neesham
978,2016,Kings XI Punjab,F Behardien
979,2019,Delhi Capitals,AR Patel
980,2009,Kolkata Knight Riders,AB Dinda
981,2010,Chennai Super Kings,M Muralitharan
982,2009,Delhi Daredevils,AM Salvi
983,2018,Sunrisers Hyderabad,MK Pandey
984,2019,Royal Challengers Bangalore,H Klaasen
985,2013,Chennai Super Kings,S Anirudha
986,2014,Royal Challengers Bangalore,AB Dinda
987,2009,Kings XI Punjab,DPMD Jayawardene
988,2015,Sunrisers Hyderabad,GH Vihari
989,2012,Chennai Super Kings,S Badrinath
990,2014,Delhi Daredevils,R Shukla
991,2018,Kolkata Knight Riders,R Singh
992,2010,Mumbai Indians,DS Kulkarni
993,2008,Kolkata Knight Riders,I Sharma
994,2017,Delhi Daredevils,S Nadeem
995,2014,Kolkata Knight Riders,Shakib Al Hasan
996,2018,Kolkata Knight Riders,MG Johnson
997,2017,Royal Challengers Bangalore,HV Patel
998,2011,Delhi Daredevils,M Morkel
999,2019,Kings XI Punjab,M Ashwin
1000,2010,Rajasthan Royals,P Dogra
1001,2010,Royal Challengers Bangalore,P Kumar
1002,2011,Rajasthan Royals,JDP Oram
1003,2008,Mumbai Indians,SR Tendulkar
1004,2009,Chennai Super Kings,S Tyagi
1005,2008,Royal Challengers Bangalore,SB Joshi
1006,2016,Gujarat Lions,AJ Finch
1007,2011,Rajasthan Royals,AA Chavan
1008,2015,Royal Challengers Bangalore,RR Rossouw
1009,2017,Rising Pune Supergiant,AM Rahane
1010,2012,Delhi Daredevils,Y Nagar
1011,2014,Rajasthan Royals,BCJ Cutting
1012,2013,Chennai Super Kings,RA Jadeja
1013,2019,Royal Challengers Bangalore,P R Barman
1014,2019,Chennai Super Kings,MM Sharma
1015,2017,Delhi Daredevils,AR Bawne
1016,2019,Chennai Super Kings,AT Rayudu
1017,2011,Royal Challengers Bangalore,CK Langeveldt
